File Code,BLS Code,BLS Region,BLS Region 2,Scenario Code,Scenario,Time_Slice,CO2 effects,CO2 ppm,Adapt- ation,wheat,rice,coarse grains,protein feed,,grains,four commo-dities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,36,CM2-S550,2080,Yes,498,Level 1,-17,-17,-6,-1,,-13,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,37,CM2-S550,2110,No,330,Level 1,-9,-9,3,-5,,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,38,CM2-S550,2110,Yes,530,Level 1,1,-1,6,9,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,39,CM2-S750,2020,No,330,Level 1,-13,-13,-2,-11,,-9,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,40,CM2-S750,2020,Yes,424,Level 1,-9,-11,-1,-5,,-7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,41,CM2-S750,2050,No,330,Level 1,-7,-7,3,-5,,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,42,CM2-S750,2050,Yes,501,Level 1,1,-2,5,6,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,43,CM2-S750,2080,No,330,Level 1,-11,-11,1,-9,,-7,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,44,CM2-S750,2080,Yes,577,Level 1,1,0,5,8,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,45,CM2-S750,2110,No,330,Level 1,-20,-20,-3,-18,,-14,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,46,CM2-S750,2110,Yes,643,Level 1,-5,-6,2,2,,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,1,GISS,Equilibrium,No,330,No,-46,-35,-19,-35,,-33,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,2,GISS,Equilibrium,Yes,555,No,-34,-24,-15,-18,,-24,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
